,,,,,,,,,,,,,,,,,,,
1,Unit Listing,,,,,,,,Specifications,,,,,,,,Manufacturer,,Notes
2,Brand,Series,,,Wattages + Links,Tier,Year,,Size,ATX Ver.,Input Range,Modularity,Efficiency,Topology,,,ODM,Platform Code,Notes
3,,,,,,,,,,,,,,Prim.,Sec.,,,,
4,,,,,,,,,,,,,,Conv.,Rect.,Reg.,,,
,,,,,,,,,,,,,,,,,,,
5,1st Player,ACK,,Standard,550/650/750W,E,2025,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Helly,Unknown,"OCP is not claimed on any rail (although it most likely exists for the minor rails only), very low +12V line output relative to total capacity."
6,,,,Bronze,650/750W,C-,2025,,ATX,ATX 3.x,230V,No,B,DF,SR,DC-DC,Helly,Unknown,"5 year warranty, OCP is set way higher than necessary on the minor rails."
7,,,,Silver,750/850W,C-,2025,,ATX,ATX 3.x,230V,No,S,DF,SR,DC-DC,Helly,Unknown,"Insane 7 year warranty given the component quality, OCP is set way higher than necessary on the minor rails, very poor 200% excursion response."
8,,Armour (AR Gold),,,550-750W,B,2021,,ATX,ATX 2.x,Full,No,G,LLC,SR,DC-DC,Helly,ATX-0500GQ,
9,,Black Sir,,,500-600W,E,2016,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Helly,ATX-0200,
10,,DK Premium,,,500-600W,C-,2016,,ATX,ATX 2.x,Full,No,B,DF,SR,DMA,Helly,ATX-0600,
11,,,,,700-800W,C-,2016,,ATX,ATX 2.x,Full,No,B,DF,SR,DMA,Helly,ATX-0600,
12,,FK,,,300/400W,F,2015,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Helly,ATX-0200,PPFC - no 80 Plus or Cybenetics rating
13,,,,,500-750W,E,2015,,ATX,ATX 2.x,230V,No,N,DF,PR,GR,Helly,ATX-0200,APFC - no 80 Plus or Cybenetics rating
14,,NGDP,,Gold,750/850/1000W,A-,2024,,ATX,ATX 3.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0800GB,
15,,,,Platinum ATX 3.0,1000W/1300W,A-,2023,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Helly,EPS-0100,Fan is of questionable quality. Yate Loon DBB. Loose 12V transient response.
16,,,,Platinum ATX 3.1,1000W/1300W,A,2024,,ATX,ATX 3.x,Full,Full,P,LLC,SR,DC-DC,Helly,EPS-0100,FDB fan; Hong Hua
17,,PRO,,,500-700W,E,2016,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Helly,,
18,,SFX,,Gold,650W,B,2022,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,SFX-0200,
19,,,,,850W,E,2022,,SFX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,SFX-0200,"Shares the same layout as the Lian Li SP850, which, due to its capacity and layout, had a potential fire risk under 100VAC input."
20,,,,Platinum,750W,B,2022,,SFX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Helly,SFX-0200,
21,,Steampunk,,Gold,650-750W,B,2019,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0100GB,
22,,,,,850W,B,2021,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Helly,ATX-0500GB,
23,,,,,,,,,,,,,,,,,,,
24,"Abko
(Abkoncore)",CR Platinum,,,1200W,B,2015,,ATX,ATX 2.x,Full,Full,P,LLC,SR,DC-DC,Andyson,R8,
25,,Coremax Bronze,,,500/600/700W,C,2024,,ATX,ATX 2.x,230V,No,B,DF,PR,DC-DC,PREE,,OEM is Guangzhou PREE Electronic Technology Co. Ltd.
26,,MT (Mighty),,,500/600/700W,E,2021,,ATX,ATX 2.x,230V,No,W,DF,PR,GR,Andyson,Z8,
27,,Tenergy (TN),,Gold,650/750/850W,B,2020,,ATX,ATX 2.x,Full,Full,G,LLC,SR,DC-DC,Andyson,K8,
28,,,,Bronze,500/600/700W,C,2020,,ATX,ATX 2.x,Full,No,B,DF,SSR,DC-DC,Andyson,Q8,Qualified for 80+ Silver in testing
29,,Settler,II,,600/700/800W,C,2023,,ATX,ATX 2.x,230V,No,B,DF,SSR,DC-DC,HKC,ATX-41,Cybenetics Silver
30,,,Hybrid Bronze,-,700/800W,C,2023,,ATX,ATX 3.x,230V,No,B,DF,SR,DC-DC,Changhu,SP-302,ODM is Dongguan Changhu Electronics Co. Ltd.
